ParticipantID,CouncilBudget,EnvSupport,TruthJustice,EquitableAccess,EasierTravel,WellBeing,AffordableLife,EconomySupport,Safety,CityDevelopment,MunicipalService,TaxEfficiency,OtherOption,DecreaseFunding,RedirectFunds,AlreadyFunded,UnequalBenefits,OtherGovFunding,NoLongerNeeded,ImproveEfficiency,NoLongerMeetsNeeds,OtherReason,ProvincialResp,FederalResp,LocalMPContact,FriendsContactMP,ProvincialConsultations,FederalConsultations,Petition,OtherAction
3ffa0a65b886c37c6ff9269d674f8d60,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
04ec2762a1b7a4aae0419273112420ab,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
39cf833d2f849b2a5ec58b21afee6d38,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
21acfa642ebb1bbdff809435abfe4304,Parks and recreation,1,0,0,0,1,0,0,0,1,1,1,0,Animal services,1,0,1,0,0,0,0,1,Undecided / Don’t Know,Undecided / Don’t Know,0,0,1,1,0,0
970cde740df02888dae2e37558283399,Affordable housing and shelters,0,0,1,0,0,1,0,0,1,1,0,0,"Arts, culture, entertainment and attractions",1,0,1,0,0,0,0,0,Strongly agree,Strongly agree,0,0,0,0,1,0
0e423b1be0ba0a7ffa1a05327432a479,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
e24009a796d24e43e9ed6f29c5d59889,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
18df5a26bf235fa8f7eb7aeb2d0d9605,Affordable housing and shelters,0,0,1,0,0,1,1,1,1,1,1,0,Enforcement of bylaws and licensing,0,1,1,0,0,0,0,0,Strongly agree,Strongly agree,1,1,1,1,1,0
f3afb44a2352ffaf5717fc1304b8d974,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
08c6cc7179833855951cd3564030b457,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
dd9d52d00eeaa6975c1840a9829aff90,Employment and social services,0,0,0,0,1,1,1,1,0,1,0,0,Animal services,0,0,1,0,0,0,0,0,Strongly agree,Strongly agree,1,1,1,1,1,0
a49e76631f8c4f27b7470ed2c68e6697,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
103f3bb6995b8eaca0050105b9b6f71b,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
7a03357f2a5bedc61426c4411c4b9238,Long-term care homes and services for seniors,0,0,1,0,1,1,0,1,0,0,0,0,Animal services,1,0,1,0,0,0,0,0,Undecided / Don’t Know,Undecided / Don’t Know,0,0,0,0,0,1
835745a0263ffb0a7b02fdcd00caddcf,Parks and recreation,1,0,1,0,1,0,0,0,0,1,1,1,Police,1,1,0,0,0,1,0,1,Strongly agree,Strongly agree,1,0,1,1,1,0
96bead31082d7f479cb24f98c8841ece,None,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0
