Participant.ID,X1..I.think.City.Council.should.consider.increasing.the.budget.for.the.following.service..select.one..,X2.1.Supports.environmental.and.climate.action,X2.2.Supports.truth..justice.and.reconciliation,X2.3.Makes.sure.everyone.in.Toronto.has.equitable.access.to.services.and.supports,X2.4.Makes.it.easier.to.get.around,X2.5.Supports.social..physical.and.mental.well.being,X2.6.Makes.life.easier.or.more.affordable,X2.7.Helps.build.the.economy..supports.businesses..job.creation.or.employment,X2.8.Makes.Toronto.safer,X2.9.Supports.the.city.s.development.and.prepares.for.future.growth,X2.10.This.is.a.fundamental.municipal.service,X2.11.Is.a.good.use.of.my.property.taxes.or.user.fees,X2.12.Other.,X2.13.Other.Text,X3..The.service.I.think.the.City.should.decrease.funding.to.is.,X4.1.The.money.should.go.to.another.program.or.service,X4.2.Enough.of.my.money.goes.to.this.service.already,X4.3.Benefits.some.Toronto.residents.more.than.others,X4.4.The.money.to.support.it.should.come.from.another.level.of.government,X4.5.The.City.should.not.deliver.this.service.anymore,X4.6.It.needs.to.be.more.effective.before.the.City.spends.more.money.on.this.service,X4.7.It.no.longer.meets.the.needs.of.Toronto.s.residents,X4.8.Other.,X4.9.Other.Text,X5..The.City.continues.to.fill.the.funding.gap.for.services.that.are.the.Provincial.Government.s.responsibilities..resulting.in.a..1.5.billion.budget.shortfall..These.services.should.be.properly.funded.by.them.including.housing..emergency.shelters..highways..public.safety..refugees.and.transit..Do.you.agree.that.the.provincial.government.should.step.up.and.pay.for.their.responsibilities.,X6..The.City.of.Toronto.continues.to.fill.the.gap.in.funding.for.services.that.are.within.the.Federal.Government.s.responsibilities.and.should.be.properly.funded.by.them..These.services.include.housing..transit..health.and.refugee.settlement....Do.you.agree.that.the.federal.government.should.step.up.and.pay.for.their.responsibilities.,X7.1.Meet.and.speak.with.my.local.Member.of.Provincial.Parliament..MPP..and.Member.of.Parliament..MP.,X7.2.Ask.friends.to.also.contact.their.MPP.and.MP.to.support.a.New.Deal,X7.3.Participate.in.the.provincial.budget.consultations,X7.4.Participate.in.the.federal.budget.consultations,X7.5.Sign.a.petition.to.the.provincial.and.federal.parliaments,X7.6.Other,X7.7.Other.Text,X8..Please.provide.the.first.three.characters.of.your.postal.code..e.g..M5H.,X9..What.is.your.age.,X10.1.Identify.as.Indigenous.to.Canada..First.Nations..Inuit.or.Metis.,X10.2.From.a.racialized.community,X10.3.New.to.Canada..less.than.5.years.,X10.4.Have.lived.experience.of.homelessness,X10.5.Member.of.the.2SLGBTQ..community,X10.6.Living.with.disability,X10.7.Low.income,X10.8.My.primary.language.is.not.English.or.French,X10.9.None.of.these.apply.to.me.or.prefer.not.to.answer,X10.10.Other,X10.11.Other.Text
3ffa0a65b886c37c6ff9269d674f8d60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
04ec2762a1b7a4aae0419273112420ab,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
39cf833d2f849b2a5ec58b21afee6d38,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21acfa642ebb1bbdff809435abfe4304,Parks and recreation,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,,Animal services,1,NA,1,NA,NA,NA,NA,1,Could we look at a user funded revenue model for animal services derived from pet registry fees for example?,Undecided / Don’t Know,Undecided / Don’t Know,NA,NA,1,1,NA,NA,,M5H,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
970cde740df02888dae2e37558283399,Affordable housing and shelters ,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,,"Arts, culture, entertainment and attractions",1,NA,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,NA,NA,NA,NA,1,NA,,M4B,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
0e423b1be0ba0a7ffa1a05327432a479,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
e24009a796d24e43e9ed6f29c5d59889,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18df5a26bf235fa8f7eb7aeb2d0d9605,Affordable housing and shelters ,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,,Enforcement of bylaws and licensing ,NA,1,1,NA,NA,NA,NA,NA,,Strongly agree,Strongly agree,1,1,1,1,1,NA,,M4E,30-54,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
f3afb44a2352ffaf5717fc1304b8d974,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
08c6cc7179833855951cd3564030b457,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
